"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"adam28",1.42982068147514e-16,0.937748453963534,0.5,0,5.74945194227969e-12,36.4838124490657,"M","adam28"
"tmsb4x",1.56622938764143e-16,-1.14270358338936,1,1,6.29796499064497e-12,36.3926904210879,"M","tmsb4x"
"pnrc1",1.78090703365445e-16,1.4129621762675,0.8,0.153,7.16120527302792e-12,36.2642386839184,"M","pnrc1"
"atm",1.8236803146056e-16,1.05596654313316,0.56,0.017,7.33320091306056e-12,36.2405048777288,"M","atm"
"b2m",2.35526586083507e-16,1.14669840096383,0.98,0.78,9.47075955300389e-12,35.9847078747338,"M","b2m"
"cybb",2.3656461999818e-16,1.20667242247081,0.58,0.025,9.51249993474683e-12,35.980310268618,"M","cybb"
"cirbp",2.44843528878856e-16,1.2567834907268,0.86,0.144,9.84540313974766e-12,35.9459123250141,"M","cirbp"
"tmsb10",2.8386682507122e-16,1.75130012417371,0.82,0.246,1.14145689029388e-11,35.7980264715173,"M","tmsb10"
"btg2",3.01829423276045e-16,1.98300180095791,0.7,0.102,1.21368629393531e-11,35.7366696396801,"M","btg2"
"s100a4",3.57515788858596e-16,1.53787797050777,0.52,0.008,1.4376067385793e-11,35.5673521480946,"M","s100a4"
"nr4a1",4.08987026180352e-16,1.64926838237605,0.52,0.008,1.64457773097381e-11,35.4328482391836,"M","nr4a1"
"klf6",4.09788019852535e-16,2.76014664580657,0.62,0.059,1.64779860662903e-11,35.4308916726478,"M","klf6"
"otud1",4.42596250163732e-16,1.56661273544267,0.54,0.017,1.77972378153338e-11,35.3538737186034,"M","otud1"
"hmgb2",4.62663047135385e-16,1.14539322694478,0.58,0.025,1.8604143788361e-11,35.3095326447192,"M","hmgb2"
"fkbp5",5.03911056529359e-16,1.18425132513396,0.6,0.042,2.02627674941021e-11,35.2241318965352,"M","fkbp5"
"c3ar1",6.11504816188857e-16,1.27778791653718,0.62,0.051,2.45892201637701e-11,35.0306088427723,"M","c3ar1"
"dpp7",6.66849813083917e-16,0.94831484943915,0.64,0.051,2.68146978339174e-11,34.9439668211215,"M","dpp7"
"ddit4",6.82734503200019e-16,1.82672056087145,0.56,0.025,2.7453437108176e-11,34.9204256114165,"M","ddit4"
"vsig4",7.03187340236828e-16,1.59832342893468,0.48,0,2.82758661382631e-11,34.8909083307601,"M","vsig4"
"rp11-552d4.1",7.03187340236828e-16,1.28798388162947,0.48,0,2.82758661382631e-11,34.8909083307601,"M","rp11-552d4.1"
"gypc",7.03187340236828e-16,1.26386763920828,0.48,0,2.82758661382631e-11,34.8909083307601,"M","gypc"
"akr1b1",7.03187340236828e-16,1.18780047313308,0.48,0,2.82758661382631e-11,34.8909083307601,"M","akr1b1"
"anxa2",7.03187340236828e-16,1.07869664581246,0.48,0,2.82758661382631e-11,34.8909083307601,"M","anxa2"
"adrbk1",7.03187340236828e-16,1.07570603326284,0.48,0,2.82758661382631e-11,34.8909083307601,"M","adrbk1"
"ifi16",7.03187340236828e-16,0.920222519257273,0.48,0,2.82758661382631e-11,34.8909083307601,"M","ifi16"
"lrrfip1",7.40256910139868e-16,1.07925720063366,0.62,0.042,2.97664706136342e-11,34.8395343720815,"M","lrrfip1"
"hsp90aa1",7.80985624989365e-16,2.43051602398351,0.88,0.28,3.14042129664474e-11,34.785974930126,"M","hsp90aa1"
"metrnl",9.26713500046605e-16,1.19756397645342,0.5,0.008,3.7264076550374e-11,34.6148872175347,"M","metrnl"
"alkbh7",9.26713500046605e-16,1.17885236218126,0.5,0.008,3.7264076550374e-11,34.6148872175347,"M","alkbh7"
"ubc",1.11655542719787e-15,1.44622074206545,0.98,0.432,4.48978102830537e-11,34.4285279601387,"M","ubc"
"gpr183",1.12008514072259e-15,1.87084489750172,0.6,0.051,4.5039743593596e-11,34.4253716939906,"M","gpr183"
"hnrnpa1",1.19927437753895e-15,1.37314918591675,0.72,0.102,4.82240219952186e-11,34.3570597063969,"M","hnrnpa1"
"rpl23a",1.21833875655369e-15,1.65481387666986,0.8,0.271,4.89906197397804e-11,34.3412881390433,"M","rpl23a"
"cd14",1.48376856126795e-15,1.74514617684287,0.76,0.169,5.96638176171456e-11,34.1441912183468,"M","cd14"
"mfsd1",1.79475902050569e-15,1.12043786303463,0.58,0.034,7.21690549735543e-11,33.9539056323975,"M","mfsd1"
"acsl1",2.11861062744244e-15,1.09653697745165,0.52,0.017,8.5191451940088e-11,33.7880158854858,"M","acsl1"
"slc11a1",2.60163217256011e-15,1.75768373884705,0.62,0.068,1.04614231290815e-10,33.5826373881643,"M","slc11a1"
