"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"actn4",0.0988767893868584,-0.403029827706686,0.085,0.159,1,2.31388075559301,"HC","actn4"
"pspc1",0.0994055181391985,0.654504886675042,0.124,0.058,1,2.30854765238162,"HC","pspc1"
"emc6",0.0994055181391985,0.635146673945159,0.124,0.058,1,2.30854765238162,"HC","emc6"
"smndc1",0.0994055181391985,0.533982866490885,0.124,0.058,1,2.30854765238162,"HC","smndc1"
"ubxn7",0.0994055181391985,0.476362797713496,0.124,0.058,1,2.30854765238162,"HC","ubxn7"
"smap1",0.0996284123802932,0.264909046962628,0.17,0.087,1,2.30630789020949,"HC","smap1"
"uhrf1bp1l",0.0999485615029335,-0.689671808202132,0.046,0.101,1,2.30309961030605,"HC","uhrf1bp1l"
"sec61a2",0.100167829228172,0.32153227500412,0.131,0.058,1,2.30090820747107,"HC","sec61a2"
"magi2",0.100804275557817,0.442752749611715,0.163,0.087,1,2.29457450799622,"HC","magi2"
"csnk2a1",0.101045438765437,0.357547945329971,0.222,0.13,1,2.29218497454378,"HC","csnk2a1"
"cd164",0.101170573555179,0.495316746194332,0.124,0.058,1,2.29094733955852,"HC","cd164"
"itsn1",0.101556501893692,0.26618596514917,0.242,0.145,1,2.28713996647958,"HC","itsn1"
"pla2g16",0.101728201113349,0.299512111047394,0.111,0.043,1,2.28545071728428,"HC","pla2g16"
"ube2l3",0.101855092618667,0.398062713680186,0.196,0.116,1,2.28420413639422,"HC","ube2l3"
"chchd1",0.102410056399687,-0.434321230929762,0.065,0.13,1,2.27877036417053,"HC","chchd1"
"rcan2",0.103028998216818,-0.661146883485376,0.105,0.174,1,2.27274479429073,"HC","rcan2"
"ice1",0.103057703964296,0.333288605634725,0.183,0.101,1,2.27246621496116,"HC","ice1"
"ppp3r1",0.103307276746597,-0.458435881897171,0.046,0.101,1,2.27004746248567,"HC","ppp3r1"
"prpf40b",0.103307276746597,-0.506554441956716,0.046,0.101,1,2.27004746248567,"HC","prpf40b"
"nedd4l",0.10335289842481,0.307574762145071,0.19,0.101,1,2.2696059484986,"HC","nedd4l"
"atf7ip",0.103482700643198,0.270481507492398,0.229,0.13,1,2.26835082379073,"HC","atf7ip"
"gbf1",0.103811913265001,0.331852143992163,0.183,0.101,1,2.26517454349695,"HC","gbf1"
"ube2e1",0.104381385927739,-0.50069714488104,0.065,0.13,1,2.25970391514148,"HC","ube2e1"
"denr",0.104851374046738,0.25568998284903,0.19,0.101,1,2.25521141683941,"HC","denr"
"cox20",0.105062543802164,0.266658557740895,0.261,0.159,1,2.25319945089808,"HC","cox20"
"fry",0.105258645463016,-0.386084936235892,0.124,0.203,1,2.25133466762671,"HC","fry"
"creb1",0.105535189169466,0.377360822014702,0.144,0.072,1,2.24871083505031,"HC","creb1"
"adipor1",0.105595840743167,-0.475580400167141,0.046,0.101,1,2.24813629538749,"HC","adipor1"
"agfg1",0.105859256239693,0.265724022275153,0.17,0.087,1,2.24564483846312,"HC","agfg1"
"hdgf",0.106872463586585,0.317665934331385,0.183,0.101,1,2.23611908453001,"HC","hdgf"
"narfl",0.10725870849888,0.426849109636977,0.144,0.072,1,2.23251152634564,"HC","narfl"
"hbp1",0.10725870849888,0.395475343695714,0.144,0.072,1,2.23251152634564,"HC","hbp1"
"rnpc3",0.107321743353039,0.433081850294934,0.222,0.13,1,2.23192400911909,"HC","rnpc3"
"actr6",0.10739434545928,0.605183460604862,0.105,0.043,1,2.23124774764834,"HC","actr6"
"ubac2",0.10739475484725,0.556252919978294,0.105,0.043,1,2.23124393564885,"HC","ubac2"
"stim2",0.10739475484725,0.52578078598583,0.105,0.043,1,2.23124393564885,"HC","stim2"
"ap1g1",0.10739475484725,0.492469018182006,0.105,0.043,1,2.23124393564885,"HC","ap1g1"
"nhp2",0.10739475484725,0.465427436221248,0.105,0.043,1,2.23124393564885,"HC","nhp2"
"enah",0.10739475484725,-0.372074193395416,0.065,0.13,1,2.23124393564885,"HC","enah"
"usp4",0.107924443156139,-0.443722652984382,0.046,0.101,1,2.2263238970986,"HC","usp4"
"setd5",0.108108966837679,0.401453729148099,0.203,0.116,1,2.22461560830735,"HC","setd5"
"kcnd3",0.108414384911823,0.508726739372995,0.105,0.043,1,2.22179449664215,"HC","kcnd3"
